Zip,Unemp. Rate,# in sample
1001,0.06,13801
1002,0.09,24551
1003,0.17,11477
1005,0.10,4086
1007,0.05,11362
1008,0.05,997
1009,0.27,574
1010,0.08,2805
1011,0.09,1083
1012,0.09,445
1013,0.10,17682
1020,0.09,25065
1022,0.25,2294
1026,0.06,924
1027,0.06,14921
1028,0.05,12198
1029,0.11,487
1030,0.05,9589
1031,0.13,1231
1032,0.04,571
1033,0.04,4932
1034,0.07,1509
1035,0.05,4347
1036,0.07,4250
1037,0.05,570
1038,0.06,2077
1039,0.03,1323
1040,0.14,30876
1050,0.05,2045
1053,0.11,1662
1054,0.03,1473
1056,0.08,17622
1057,0.09,6826
1060,0.07,13202
1062,0.08,8969
1063,0.10,697
1066,,0
1068,0.08,1488
1069,0.08,7293
1070,0.14,518
1071,0.07,1284
1072,0.05,1183
1073,0.04,4647
1074,0.00,306
1075,0.07,14901
1077,0.06,7671
1079,0.10,181
1080,0.17,1975
1081,0.07,1511
1082,0.12,8174
1083,0.11,2352
1084,0.11,213
1085,0.07,32504
1086,0.00,1463
1088,0.08,677
1089,0.10,22850
1092,0.13,1127
1093,0.07,314
1094,0.00,214
1095,0.08,11553
1096,0.03,1736
1097,0.33,42
1098,0.07,962
1103,0.05,2116
1104,0.12,17493
1105,0.19,9565
1106,0.04,12609
1107,0.22,7960
1108,0.17,18664
1109,0.17,23518
1118,0.06,11027
1119,0.11,12498
1128,0.06,2248
1129,0.11,5911
1151,0.10,5920
1199,,0
1201,0.09,37584
1220,0.12,7107
1222,0.00,608
1223,0.10,2033
1224,0.15,163
1225,0.05,2517
1226,0.08,5675
1229,0.17,129
1230,0.03,7585
1235,0.07,2352
1236,0.12,1122
1237,0.06,2080
1238,0.10,5376
1240,0.13,3672
1242,0.00,302
1243,0.07,224
1244,0.00,151
1245,0.07,710
1247,0.11,13693
1253,0.07,543
1254,0.04,1016
1255,0.04,828
1256,0.02,582
1257,0.01,1850
1258,0.02,236
1259,0.04,418
1260,0.00,73
1262,0.07,887
1264,0.03,133
1266,0.05,1451
1267,0.08,6864
1270,0.02,635
1301,0.09,14817
1330,0.07,1298
1331,0.11,10653
1337,0.08,2158
1338,0.03,181
1339,0.08,1230
1340,0.06,1408
1341,0.07,1442
1342,0.02,989
1343,0.00,91
1344,0.11,1137
1346,0.08,348
1347,0.00,74
1349,0.03,838
1350,0.14,111
1351,0.06,2072
1354,0.06,1220
1355,0.06,708
1360,0.05,2507
1364,0.13,6338
1366,0.08,1148
1367,0.12,386
1368,0.11,902
1370,0.07,3644
1373,0.08,3994
1375,0.03,3219
1376,0.09,4294
1378,0.08,531
1379,0.10,914
1420,0.11,32433
1430,0.07,4631
1431,0.06,2382
1432,0.12,5788
1434,0.17,1521
1436,0.10,2557
1438,0.10,379
1440,0.11,16762
1450,0.04,7806
1451,0.08,3614
1452,0.08,3411
1453,0.10,32708
1460,0.04,6733
1462,0.07,8038
1463,0.05,9052
1464,0.05,6013
1467,0.09,454
1468,0.09,3230
1469,0.07,5024
1473,0.07,5754
1474,0.08,1761
1475,0.08,8064
1501,0.07,13082
1503,0.06,2316
1504,0.07,7272
1505,0.04,3491
1506,0.05,2714
1507,0.06,9609
1510,0.10,10855
1515,0.08,1640
1516,0.10,6351
1518,0.04,2198
1519,0.07,4745
1520,0.07,10874
1521,0.07,2107
1522,0.12,2467
1523,0.06,6080
1524,0.09,5528
1525,0.10,170
1527,0.08,10931
1529,0.07,2356
1531,0.05,842
1532,0.06,10682
1534,0.08,3823
1535,0.06,3657
1536,0.07,5677
1537,0.13,1924
1540,0.07,8779
1541,0.04,2651
1542,0.03,1415
1543,0.09,5822
1545,0.06,26716
1550,0.11,13006
1560,0.04,2882
1561,0.09,359
1562,0.10,9589
1564,0.06,6128
1566,0.05,5005
1568,0.06,5461
1569,0.06,10349
1570,0.11,13551
1571,0.08,8788
1581,0.05,14111
1583,0.07,6524
1585,0.07,3700
1588,0.09,7958
1590,0.02,6793
1602,0.07,18222
1603,0.09,15113
1604,0.10,28868
1605,0.08,19919
1606,0.05,16286
1607,0.09,7049
1608,0.12,2728
1609,0.10,18501
1610,0.16,19722
1611,0.14,1909
1612,0.04,3796
1701,0.06,24840
1702,0.06,30275
1718,0.06,436
1719,0.07,3913
1720,0.05,15414
1721,0.06,12622
1730,0.06,10242
1731,0.01,995
1740,0.06,3584
1741,0.09,3568
1742,0.04,14195
1745,0.05,306
1746,0.06,10439
1747,0.07,4644
1748,0.04,10528
1749,0.08,15196
1752,0.06,31443
1754,0.06,8060
1756,0.06,4435
1757,0.07,22145
1760,0.04,25427
1770,0.03,3063
1772,0.07,6882
1773,0.03,3770
1775,0.05,4930
1776,0.06,12648
1778,0.05,10022
1801,0.07,31633
1803,0.08,18992
1810,0.06,25310
1821,0.06,23525
1824,0.07,19494
1826,0.07,23564
1827,0.05,2342
1830,0.10,20145
1832,0.11,16937
1833,0.07,6134
1834,0.06,4933
1835,0.05,10717
1840,0.07,3596
1841,0.09,35115
1843,0.07,17948
1844,0.06,36635
1845,0.06,21827
1850,0.12,12521
1851,0.09,23464
1852,0.10,26360
1854,0.08,22430
1860,0.05,4987
1862,0.08,8057
1863,0.06,7040
1864,0.08,11435
1867,0.05,18386
1876,0.06,22731
1879,0.09,8865
1880,0.08,20139
1886,0.06,16094
1887,0.06,17089
1890,0.06,15929
1901,0.22,1547
1902,0.12,35051
1904,0.08,15772
1905,0.11,18571
1906,0.08,21828
1907,0.05,11159
1908,0.05,2904
1913,0.07,13084
1915,0.06,32931
1921,0.07,6044
1922,0.04,2340
1923,0.07,21373
1929,0.04,2908
1930,0.09,24021
1937,,38
1938,0.08,10730
1940,0.04,9308
1944,0.05,4038
1945,0.05,15335
1949,0.08,7122
1950,0.06,14250
1951,0.09,2945
1952,0.08,6787
1960,0.07,41791
1966,0.08,5911
1969,0.07,4635
1970,0.10,34110
1982,0.05,5895
1983,0.04,4408
1984,0.08,4007
1985,0.07,3284
2019,0.06,12741
2021,0.05,16828
2025,0.05,5613
2026,0.06,19984
2030,0.04,4148
2032,0.07,3021
2035,0.05,13199
2038,0.06,23272
2043,0.06,16654
2045,0.06,8963
2047,0.00,171
2048,0.07,16840
2050,0.06,19689
2052,0.04,8972
2053,0.07,9606
2054,0.09,6119
2056,0.04,8738
2061,0.06,7646
