"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"CHILDRENS HOSPITAL DIALYSIS","012306","013300","1600 7TH AVENUE SOUTH","BIRMINGHAM","AL","35233","8","KT/V COMPREHENSIVE","  86.36%","1","-","7","7"
"FMC CAPITOL CITY","012500","-","255 S JACKSON STREET","MONTGOMERY","AL","36104","8","KT/V COMPREHENSIVE","  95.38%","6","-","7","7"
"GADSDEN DIALYSIS","012501","-","409 SOUTH FIRST STREET","GADSDEN","AL","35901","8","KT/V COMPREHENSIVE","  98.35%","9","-","7","7"
"TUSCALOOSA UNIVERSITY DIALYSIS","012502","-","220 15TH STREET","TUSCALOOSA","AL","35401","8","KT/V COMPREHENSIVE","  97.23%","8","-","7","7"
"PCD MONTGOMERY","012505","-","1001 FOREST AVENUE","MONTGOMERY","AL","36106","8","KT/V COMPREHENSIVE","  98.01%","9","-","7","7"
"DOTHAN DIALYSIS","012506","-","216 GRACELAND DR.","DOTHAN","AL","36305","8","KT/V COMPREHENSIVE","  99.48%","10","-","7","7"
"FMC MOBILE","012507","-","2620 OLD SHELL RD","MOBILE","AL","36607","8","KT/V COMPREHENSIVE","  99.21%","10","-","7","7"
"BIRMINGHAM EAST DIALYSIS","012508","-","1105 EAST PARK DRIVE","BIRMINGHAM","AL","35235","8","KT/V COMPREHENSIVE","  95.15%","5","-","7","7"
"FMC NORTH ALABAMA","012509","-","1311 N MEMORIAL PKWY #200","HUNTSVILLE","AL","35801","8","KT/V COMPREHENSIVE","  97.19%","8","-","7","7"
"FMC SELMA","012512","-","905 MEDICAL CENTER PARKWAY","SELMA","AL","36701","8","KT/V COMPREHENSIVE","  95.38%","6","-","7","7"
"FMC LANGDALE","012513","-","8 MEDICAL PARK","VALLEY","AL","36854","8","KT/V COMPREHENSIVE","  97.66%","8","-","7","7"
"FMC OPELIKA","012515","-","2609 VILLAGE PROFESSIONAL DR STE 2","OPELIKA","AL","36801","8","KT/V COMPREHENSIVE","  97.96%","9","-","7","7"
"DSI SOUTH DIALYSIS","012516","-","3201 3RD AVE SOUTH","BIRMINGHAM","AL","35222","8","KT/V COMPREHENSIVE","  94.56%","5","-","7","7"
"DVA HEALTHCARE RENAL CARE INC","012517","-","15953 ATHENS LIMESTONE DRIVE","ATHENS","AL","35613","8","KT/V COMPREHENSIVE","  97.52%","8","-","7","7"
"FMC SCOTTSBORO","012519","-","20998 JOHN T. REID HWY","SCOTTSBORO","AL","35768","8","KT/V COMPREHENSIVE","  97.76%","9","-","7","7"
"FMC TROY","012520","-","606 BOTTS AVE","TROY","AL","36081","8","KT/V COMPREHENSIVE","  97.05%","8","-","7","7"
"DCI DOTHAN","012521","-","1630 COLUMBIA HWY","DOTHAN","AL","36303","8","KT/V COMPREHENSIVE","  92.27%","2","-","7","7"
"FMC HUNTSVILLE","012522","-","2325 PANSY STREET SUITE C","HUNTSVILLE","AL","35801","8","KT/V COMPREHENSIVE","  96.62%","7","-","7","7"
"PHENIX CITY DIALYSIS","012523","-","4391 RIVERCHASE DRIVE","PHENIX CITY","AL","36867","8","KT/V COMPREHENSIVE","  94.47%","5","-","7","7"
"FMC EAST MOBILE","012524","-","1217 GOVERNMENT ST","MOBILE","AL","36604","8","KT/V COMPREHENSIVE","  89.76%","0","-","7","7"
"FMC WEST MOBILE","012525","-","6601 WALL STREET SUITE A","MOBILE","AL","36695","8","KT/V COMPREHENSIVE","  96.76%","7","-","7","7"
"RCG PRINCETON","012526","-","708 COTTON AVE SW","BIRMINGHAM","AL","35211","8","KT/V COMPREHENSIVE","  94.37%","4","-","7","7"
"DCI ENTERPRISE","012527","-","3861 SALEM ROAD","ENTERPRISE","AL","36330","8","KT/V COMPREHENSIVE","  96.97%","8","-","7","7"
"FMC CAHABA VALLEY","012528","-","120 CAHABA VALLEY PARKWAY SUITE 150","PELHAM","AL","35124","8","KT/V COMPREHENSIVE","  97.75%","9","-","7","7"
"FLORENCE DIALYSIS","012529","-","422 EAST DR. HICKS BLVD","FLORENCE","AL","35630","8","KT/V COMPREHENSIVE","  95.93%","6","-","7","7"
"RAI EAST 11TH ST ANNISTON","012530","-","522 EAST 11TH STREET 1ST FLOOR","ANNISTON","AL","36207","8","KT/V COMPREHENSIVE","  96.59%","7","-","7","7"
"FMC JACKSON (TOMBIGBEE)","012531","-","215 WALKER SPRINGS RD","JACKSON","AL","36545","8","KT/V COMPREHENSIVE","  96.97%","8","-","7","7"
"DCI EUFAULA","012532","-","123 A EAST BARBOUR STREET","EUFAULA","AL","36027","8","KT/V COMPREHENSIVE","  98.45%","9","-","7","7"
